schema_version,catalog,run_index,run_seed,target_index,abort_ordinal,status,dv_mag_m_per_s,dv_second_burn_m_per_s,coast_min_range_m,bounded_min_range_m,clearance_m,keep_out_radius_m,clear_margin_m
1.1,SL-16 / Zenit-2 second stage,1,4509949166606829195,1,1,Clean,0.085976,0.000000,332.4001,332.3999,132.4001,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,5,17802606405992055846,0,1,Clean,0.019092,0.000000,332.9848,332.9848,132.9848,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,5,17802606405992055846,3,2,Clean,0.036480,0.000000,388.7981,388.7981,188.7981,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,10,6166372649272462251,1,1,Clean,0.091699,0.000000,278.1737,278.1736,78.1737,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,11,13021235920180573867,3,1,Clean,0.038334,0.000000,344.1586,344.1586,144.1586,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,13,9076889411656863681,3,1,Clean,0.144917,0.000000,280.3759,280.3755,80.3759,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,14,13862699591278239800,0,1,Clean,0.041342,0.000000,437.4246,437.4245,237.4246,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,14,13862699591278239800,2,2,Clean,0.033845,0.000000,383.5484,383.5484,183.5484,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,18,9978189828435000231,1,1,Clean,0.102225,0.000000,307.2678,307.2674,107.2678,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,18,9978189828435000231,3,2,Clean,0.139862,0.000000,304.5921,304.5918,104.5921,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,21,2316318612580630544,2,1,Clean,0.045066,0.000000,413.3835,413.3835,213.3835,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,23,1173233666476504275,1,1,Clean,0.066346,0.000000,382.6568,382.6568,182.6568,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,25,16530836821666418801,2,1,Clean,0.085143,0.000000,337.2447,337.2447,137.2447,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,28,7663414181476348310,0,1,Clean,0.031472,0.000000,451.9592,451.9592,251.9592,200.0,20.0
