schema_version,catalog,mass_kg,altitude_km,record_type,sail_area_m2,value_solar_max,value_solar_min,units,notes
1.0,SL-16 / Zenit-2 second stage,9000.0,840.0,decay_years,5.0000,673.4519,10775.2296,years,""
1.0,SL-16 / Zenit-2 second stage,9000.0,840.0,decay_years,10.0000,336.7259,5387.6148,years,""
1.0,SL-16 / Zenit-2 second stage,9000.0,840.0,decay_years,25.0000,134.6904,2155.0459,years,""
1.0,SL-16 / Zenit-2 second stage,9000.0,840.0,decay_years,50.0000,67.3452,1077.5230,years,""
1.0,SL-16 / Zenit-2 second stage,9000.0,840.0,decay_years,100.0000,33.6726,538.7615,years,""
1.0,SL-16 / Zenit-2 second stage,9000.0,840.0,decay_years,200.0000,16.8363,269.3807,years,""
1.0,SL-16 / Zenit-2 second stage,9000.0,840.0,decay_years,400.0000,8.4181,134.6904,years,""
1.0,SL-16 / Zenit-2 second stage,9000.0,840.0,decay_years,800.0000,4.2091,67.3452,years,""
1.0,SL-16 / Zenit-2 second stage,9000.0,840.0,decay_years,1600.0000,2.1045,33.6726,years,""
1.0,SL-16 / Zenit-2 second stage,9000.0,840.0,decay_years,3200.0000,1.0523,16.8363,years,""
1.0,SL-16 / Zenit-2 second stage,9000.0,840.0,area_for_25yr,0.0,134.6904,2155.0459,m2,"sail area for the 25-yr guideline (solar max .. min)"
1.0,SL-8 / Kosmos-3M second stage,1400.0,750.0,decay_years,5.0000,36.0228,576.3641,years,""
1.0,SL-8 / Kosmos-3M second stage,1400.0,750.0,decay_years,10.0000,18.0114,288.1821,years,""
1.0,SL-8 / Kosmos-3M second stage,1400.0,750.0,decay_years,25.0000,7.2046,115.2728,years,""
1.0,SL-8 / Kosmos-3M second stage,1400.0,750.0,decay_years,50.0000,3.6023,57.6364,years,""
1.0,SL-8 / Kosmos-3M second stage,1400.0,750.0,decay_years,100.0000,1.8011,28.8182,years,""
1.0,SL-8 / Kosmos-3M second stage,1400.0,750.0,decay_years,200.0000,0.9006,14.4091,years,""
1.0,SL-8 / Kosmos-3M second stage,1400.0,750.0,decay_years,400.0000,0.4503,7.2046,years,""
1.0,SL-8 / Kosmos-3M second stage,1400.0,750.0,decay_years,800.0000,0.2251,3.6023,years,""
1.0,SL-8 / Kosmos-3M second stage,1400.0,750.0,decay_years,1600.0000,0.1126,1.8011,years,""
1.0,SL-8 / Kosmos-3M second stage,1400.0,750.0,decay_years,3200.0000,0.0563,0.9006,years,""
1.0,SL-8 / Kosmos-3M second stage,1400.0,750.0,area_for_25yr,0.0,7.2046,115.2728,m2,"sail area for the 25-yr guideline (solar max .. min)"
1.0,,0.0,0.0,guideline,0.0,25.0,25.0,years,"IADC 25-year post-mission disposal guideline"
