schema_version,catalog,record_type,n_kits,param,weighting,metric,estimate,p05,p50,p95,units,notes,cost_scenario
1.1,SL-16 / Zenit-2 second stage,amortization,1,,,cost_per_removal,157.068554,157.068476,157.068554,159.068573,CU_per_removal,"",
1.1,SL-16 / Zenit-2 second stage,amortization,1,,,cost_per_removal_ratio_to_n1,1.000000,0.000000,1.000000,0.000000,ratio,"p50 relative to sweep min N",
1.1,SL-16 / Zenit-2 second stage,amortization,1,,,removals,1.000000,0.000000,1.000000,0.000000,count,"",
1.1,SL-16 / Zenit-2 second stage,amortization,1,,,campaign_cost,157.068554,0.000000,157.068554,0.000000,CU,"",
1.1,SL-16 / Zenit-2 second stage,amortization,2,,,cost_per_removal,82.222051,82.221995,82.222051,83.222100,CU_per_removal,"",
1.1,SL-16 / Zenit-2 second stage,amortization,2,,,cost_per_removal_ratio_to_n1,0.523479,0.000000,0.523479,0.000000,ratio,"p50 relative to sweep min N",
1.1,SL-16 / Zenit-2 second stage,amortization,2,,,removals,2.000000,0.000000,2.000000,0.000000,count,"",
1.1,SL-16 / Zenit-2 second stage,amortization,2,,,campaign_cost,164.444102,0.000000,164.444102,0.000000,CU,"",
1.1,SL-16 / Zenit-2 second stage,amortization,3,,,cost_per_removal,57.273224,57.273171,57.273224,57.939899,CU_per_removal,"",
1.1,SL-16 / Zenit-2 second stage,amortization,3,,,cost_per_removal_ratio_to_n1,0.364638,0.000000,0.364638,0.000000,ratio,"p50 relative to sweep min N",
1.1,SL-16 / Zenit-2 second stage,amortization,3,,,removals,3.000000,0.000000,3.000000,0.000000,count,"",
1.1,SL-16 / Zenit-2 second stage,amortization,3,,,campaign_cost,171.819673,0.000000,171.819673,0.000000,CU,"",
1.1,SL-16 / Zenit-2 second stage,amortization,4,,,cost_per_removal,44.798792,44.798756,44.798792,59.724414,CU_per_removal,"",
1.1,SL-16 / Zenit-2 second stage,amortization,4,,,cost_per_removal_ratio_to_n1,0.285218,0.000000,0.285218,0.000000,ratio,"p50 relative to sweep min N",
1.1,SL-16 / Zenit-2 second stage,amortization,4,,,removals,4.000000,0.000000,4.000000,0.000000,count,"",
1.1,SL-16 / Zenit-2 second stage,amortization,4,,,campaign_cost,179.195140,0.000000,179.195140,0.000000,CU,"",
1.1,SL-16 / Zenit-2 second stage,amortization,5,,,cost_per_removal,46.137160,36.914113,46.137160,61.508947,CU_per_removal,"",
1.1,SL-16 / Zenit-2 second stage,amortization,5,,,cost_per_removal_ratio_to_n1,0.293739,0.000000,0.293739,0.000000,ratio,"p50 relative to sweep min N",
1.1,SL-16 / Zenit-2 second stage,amortization,5,,,removals,4.000000,0.000000,4.000000,0.000000,count,"",
1.1,SL-16 / Zenit-2 second stage,amortization,5,,,campaign_cost,184.548865,0.000000,184.548865,0.000000,CU,"",
1.1,SL-16 / Zenit-2 second stage,amortization,6,,,cost_per_removal,47.475560,37.984833,47.475560,63.293481,CU_per_removal,"",
1.1,SL-16 / Zenit-2 second stage,amortization,6,,,cost_per_removal_ratio_to_n1,0.302260,0.000000,0.302260,0.000000,ratio,"p50 relative to sweep min N",
1.1,SL-16 / Zenit-2 second stage,amortization,6,,,removals,4.000000,0.000000,4.000000,0.000000,count,"",
1.1,SL-16 / Zenit-2 second stage,amortization,6,,,campaign_cost,189.902465,0.000000,189.902465,0.000000,CU,"",
1.1,SL-16 / Zenit-2 second stage,amortization,7,,,cost_per_removal,48.813960,39.055553,48.813960,65.078014,CU_per_removal,"",
